product_id,product_name,price,rating,url
P0001,OPPO A5i 6GB 128GB,4490000,4.9,https://fptshop.com.vn/dien-thoai/oppo-a5i-6gb
P0002,Samsung Galaxy S25 Ultra 5G 12GB 256GB,27490000,4.9,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s25-ultra
P0003,Samsung Galaxy S26 Ultra 5G 16GB 1TB,41990000,4.9,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s26-ultra-16gb
P0004,Mobell M139 4G,339000,4.9,https://fptshop.com.vn/dien-thoai/mobell-m139-4g
P0005,Samsung Galaxy A17 5G 8GB 128GB,6790000,4.9,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a17-5g
P0006,Xiaomi Redmi 15 5G 8GB 256GB,5990000,4.9,https://fptshop.com.vn/dien-thoai/xiaomi-redmi-15
P0007,Oppo Find X9 Ultra 5G 12GB 512GB,48990000,4.9,https://fptshop.com.vn/dien-thoai/oppo-find-x9-ultra
P0008,Viettel Sumo T2 4G,550000,4.9,https://fptshop.com.vn/dien-thoai/viettel-sumo-t2-4g
P0009,Nubia V80 Max 4GB 128GB,3590000,4.9,https://fptshop.com.vn/dien-thoai/nubia-v80-max-4gb
P0010,OPPO Find N3 5G 16GB 512GB,26990000,4.9,https://fptshop.com.vn/dien-thoai/oppo-find-n3
P0011,Nubia A76 4GB 128GB (NFC),2990000,4.9,https://fptshop.com.vn/dien-thoai/nubia-a76
P0012,OPPO A6T 4GB 64GB,4990000,4.9,https://fptshop.com.vn/dien-thoai/oppo-a6t
P0013,TCL 60R 5G 4GB 128GB,2790000,4.9,https://fptshop.com.vn/dien-thoai/tcl-60r
P0014,Itel IT8010 4G,349000,4.9,https://fptshop.com.vn/dien-thoai/itel-it8010-4g
P0015,Honor 600 5G 8GB 256GB,17590000,4.9,https://fptshop.com.vn/dien-thoai/honor-600
P0016,Samsung Galaxy A57 5G 8GB 128GB,11190000,4.9,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a57
P0017,Inoi 240 Modern 4G,349000,4.9,https://fptshop.com.vn/dien-thoai/inoi-240-modern-4g
P0018,Xiaomi Poco C71 4GB 128GB,2950000,4.9,https://fptshop.com.vn/dien-thoai/xiaomi-poco-c71
P0019,Tecno Camon 40 8GB 128GB,4990000,4.9,https://fptshop.com.vn/dien-thoai/tecno-camon-40
P0020,Nubia A36 4GB 64GB,2990000,4.9,https://fptshop.com.vn/dien-thoai/nubia-a36
